spring_displacement,mag2,interpolated_tension
0,507,0
0.0376506,507,0.0256024
0.075416,507,0.0507746
0.113298,507,0.0760426
0.151297,508,0.101856
0.189436,508,0.127027
0.227722,509,0.152851
0.266128,509,0.178644
0.304644,510,0.204158
0.343344,509,0.230474
0.382168,509,0.256231
0.421116,509,0.282359
0.460196,510,0.308729
0.499412,511,0.334612
0.53881,512,0.361391
0.578345,513,0.387708
0.618019,514,0.414253
0.657827,516,0.441166
0.697764,518,0.467524
0.737912,520,0.49478
0.778185,522,0.521602
0.818613,526,0.548657
0.859202,527,0.576073
0.899919,528,0.602946
0.940835,530,0.630768
0.981908,532,0.658059
1.02312,531,0.685723
1.06449,532,0.713566
1.10605,533,0.741112
1.14775,533,0.769469
1.18968,534,0.79719
1.23176,538,0.825597
1.27401,541,0.853843
1.31643,543,0.882169
1.35902,546,0.910956
1.4018,549,0.939227
1.44476,549,0.968436
1.48794,552,0.997042
1.53129,555,1.02628
1.57483,558,1.05538
1.61855,561,1.08462
1.66248,565,1.11424
1.7066,565,1.14349
1.75089,567,1.17359
1.79541,569,1.20297
1.84019,571,1.23333
1.88515,574,1.2632
1.93029,576,1.2936
1.97566,577,1.32394
2.02125,577,1.35445
2.06707,578,1.38526
2.11312,578,1.41592
2.15938,580,1.44719
2.20584,583,1.47797
2.25258,585,1.5097
2.29953,587,1.54069
2.34674,589,1.57278
2.39421,589,1.60418
2.44193,588,1.63567
2.48988,588,1.66812
2.53808,591,1.70089
2.58655,593,1.73313
2.63527,596,1.76598
2.68428,600,1.79863
2.73356,604,1.83182
2.78309,605,1.86484
2.83292,606,1.89838
2.88303,607,1.9318
2.93343,608,1.96507
2.98411,609,1.9992
